Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-05-10 03:52:58.540000,49.973928,49.975125,49.976376,49.975143,73,1695
2022-05-10 03:52:58.560000,49.975453,49.975444,49.97743,49.976109,73,1695
2022-05-10 03:52:58.580000,49.975915,49.975611,49.97637,49.975965333333335,73,1695
2022-05-10 03:52:58.600000,49.975402,49.976268,49.975179,49.975616333333335,73,1695
2022-05-10 03:52:58.620000,49.974523,49.976014,49.973992,49.974843,73,1695
2022-05-10 03:52:58.640000,49.974514,49.976079,49.975095,49.97522933333334,73,1695
2022-05-10 03:52:58.660000,49.974742,49.977181,49.977737,49.97655333333333,73,1695
2022-05-10 03:52:58.680000,49.974834,49.976871,49.977374,49.97635966666667,73,1695
2022-05-10 03:52:58.700000,49.976072,49.97555,49.975149,49.975590333333336,73,1695
2022-05-10 03:52:58.720000,49.977321,49.974616,49.974443,49.97546,73,1695
2022-05-10 03:52:58.740000,49.976549,49.974621,49.975539,49.975569666666665,73,1695
2022-05-10 03:52:58.760000,49.976255,49.976245,49.976953,49.97648433333333,73,1695
2022-05-10 03:52:58.780000,49.976764,49.975981,49.97602,49.976255,73,1695
2022-05-10 03:52:58.800000,49.976667,49.974487,49.975305,49.97548633333333,73,1695
2022-05-10 03:52:58.820000,49.976657,49.974681,49.976237,49.97585833333333,73,1695
2022-05-10 03:52:58.840000,49.97628,49.974449,49.974889,49.97520599999999,73,1695
2022-05-10 03:52:58.860000,49.976136,49.974384,49.974722,49.97508066666666,73,1695
2022-05-10 03:52:58.880000,49.977199,49.975838,49.977695,49.97691066666666,73,1695
2022-05-10 03:52:58.900000,49.977388,49.975505,49.977559,49.97681733333334,73,1695
2022-05-10 03:52:58.920000,49.975459,49.973476,49.974278,49.97440433333333,73,1695
2022-05-10 03:52:58.940000,49.974927,49.974097,49.975543,49.97485566666668,73,1695
2022-05-10 03:52:58.960000,49.976131,49.975278,49.976749,49.97605266666667,73,1695
2022-05-10 03:52:58.980000,49.975458,49.974055,49.973022,49.97417833333333,73,1695
2022-05-10 03:52:59.000000,49.975297,49.974065,49.973326,49.974229333333334,73,1695
2022-05-10 03:52:59.020000,49.97697,49.974954,49.97674,49.976221333333335,73,1695
2022-05-10 03:52:59.040000,49.977152,49.974936,49.977168,49.97641866666667,73,1695
2022-05-10 03:52:59.060000,49.976701,49.975958,49.977133,49.97659733333333,73,1695
2022-05-10 03:52:59.080000,49.9771,49.975375,49.976587,49.97635399999999,73,1695
2022-05-10 03:52:59.100000,49.975203,49.971744,49.97243,49.97312566666667,73,1695
